lat,lng,country,target
33.9504,116.75,China,0
27.8,114.93,China,0
-5.095,-42.78,Brazil,0
26.2072,127.673,Japan,0
37.6527,126.8372,"Korea, South",0
35.3204,113.87,China,0
28.77,104.57,China,0
5.1004,7.35,Nigeria,0
11.85,13.16,Nigeria,0
32.07,36.1,Jordan,0
36.9204,34.88,Turkey,0
32.95,117.33,China,0
-32.8833,-68.8166,Argentina,0
15.36,75.125,India,0
-36.83,-73.05,Chile,0
11.08,7.71,Nigeria,0
36.08,114.35,China,0
10.3997,-75.5144,Colombia,0
12.31,76.66,India,0
32.65,-115.48,Mexico,0
43.62,122.27,China,0
-4.04,39.6899,Kenya,0
55.0004,-1.6,United Kingdom,0
-29.7096,-51.14,Brazil,0
-12.07,-77.135,Peru,0
43.25,-2.93,Spain,0
1.48,103.73,Malaysia,0
21.235,81.635,India,0
30.7,111.28,China,0
32.7812,-97.3472,United States,1
11.67,78.1801,India,0
21.8504,111.97,China,0
31.63,-8,Morocco,0
34.85,114.35,China,0
40.1436,124.3936,China,0
30.5135,47.8136,Iraq,0
21.8795,-102.2904,Mexico,0
32.1545,-110.8782,United States,1
34.672,133.9171,Japan,0
37.4989,126.7831,"Korea, South",0
30.9525,118.7553,China,0
-5.43,105.27,Indonesia,0
35.4304,119.45,China,0
38.125,13.35,Italy,0
51.5,-3.225,United Kingdom,0
22.3,-97.87,Mexico,0
35.25,113.22,China,0
-0.96,100.36,Indonesia,0
31.3349,75.569,India,0
32.22,119.43,China,0
-33.0478,-71.621,Chile,0
33.7304,113.3,China,0
27.7,106.92,China,0
26.2504,105.93,China,0
43.62,1.4499,France,0
31.8479,-106.4309,United States,1
-22.74,-43.47,Brazil,0
20.2704,85.8274,India,0
51.73,39.27,Russia,0
51.58,46.03,Russia,0
37.6804,112.73,China,0
33.3856,120.1253,China,0
18.9211,-99.24,Mexico,0
36.0803,111.52,China,0
21.3294,-157.846,United States,1
5.52,5.76,Nigeria,0
47.5804,7.59,Switzerland,0
-26.816,-65.2166,Argentina,0
34.38,47.06,Iran,0
40.6961,22.885,Greece,0
41.2628,-96.0498,United States,1
25.18,75.835,India,0
41.555,-8.4213,Portugal,0
25.453,78.5575,India,0
29.3801,113.1,China,0
52.9703,-1.17,United Kingdom,0
30.44,-9.62,Morocco,0
5.4171,100.4,Malaysia,0
28.3454,79.42,India,0
9.93,8.89,Nigeria,0
25.0904,104.89,China,0
10.32,123.9001,Philippines,0
-16.42,-71.53,Peru,0
53.416,-2.918,United Kingdom,0
31.3504,118.37,China,0
39.5204,116.68,China,0
24.375,88.605,Bangladesh,0
27.3204,103.72,China,0
24.83,-107.38,Mexico,0
39.485,-0.4,Spain,0
41.24,119.4011,China,0
-15.5696,-56.085,Brazil,0
13.78,109.18,Vietnam,0
-7.98,112.61,Indonesia,0
27.8922,78.0618,India,0
49.835,24.03,Ukraine,0
44.85,-0.595,France,0
26.2273,-98.2471,United States,1
34.38,107.15,China,0
0.565,101.425,Indonesia,0
35.71,-0.62,Algeria,0
40.6703,122.28,China,0
19.35,73.13,India,0
41.28,123.18,China,0
28.645,-106.085,Mexico,0
32.7118,74.8467,India,0
2.2064,102.2465,Malaysia,0
